table_name;field_name;field_type;field_length;field_is_primary
systables;tabname;0;18;0
systables;owner;0;8;0
systables;dirpath;0;64;0
systables;tabid;6;4;0
systables;rowsize;1;2;0
systables;ncols;1;2;0
systables;nindexes;1;2;0
systables;nrows;2;4;0
systables;created;7;4;0
systables;version;2;4;0
systables;tabtype;0;1;0
systables;audpath;0;64;0
syscolumns;colname;0;18;0
syscolumns;tabid;2;4;0
syscolumns;colno;1;2;0
syscolumns;coltype;1;2;0
syscolumns;collength;1;2;0
sysindexes;idxname;0;18;0
sysindexes;owner;0;8;0
sysindexes;tabid;2;4;0
sysindexes;idxtype;0;1;0
sysindexes;clustered;0;1;0
sysindexes;part1;1;2;0
sysindexes;part2;1;2;0
sysindexes;part3;1;2;0
sysindexes;part4;1;2;0
sysindexes;part5;1;2;0
sysindexes;part6;1;2;0
sysindexes;part7;1;2;0
sysindexes;part8;1;2;0
systabauth;grantor;0;8;0
systabauth;grantee;0;8;0
systabauth;tabid;2;4;0
systabauth;tabauth;0;8;0
syscolauth;grantor;0;8;0
syscolauth;grantee;0;8;0
syscolauth;tabid;2;4;0
syscolauth;colno;1;2;0
syscolauth;colauth;0;3;0
sysviews;tabid;2;4;0
sysviews;seqno;1;2;0
sysviews;viewtext;0;64;0
sysusers;username;0;8;0
sysusers;usertype;0;1;0
sysusers;priority;1;2;0
sysusers;password;0;8;0
sysdepend;btabid;2;4;0
sysdepend;btype;0;1;0
sysdepend;dtabid;2;4;0
sysdepend;dtype;0;1;0
syssynonyms;owner;0;8;0
syssynonyms;synname;0;18;0
syssynonyms;created;7;4;0
syssynonyms;tabid;2;4;0
syssyntable;tabid;2;4;0
syssyntable;servername;0;18;0
syssyntable;dbname;0;18;0
syssyntable;owner;0;8;0
syssyntable;tabname;0;18;0
syssyntable;btabid;2;4;0
sysconstraints;constrid;6;4;0
sysconstraints;constrname;0;18;0
sysconstraints;owner;0;8;0
sysconstraints;tabid;2;4;0
sysconstraints;constrtype;0;1;0
sysconstraints;idxname;0;18;0
sysreferences;constrid;2;4;0
sysreferences;primary;2;4;0
sysreferences;ptabid;2;4;0
sysreferences;updrule;0;1;0
sysreferences;delrule;0;1;0
