db_name;table_name;table_is_view;query
Credel;vcc_hitrefv;1;create view credel.vcc_hitrefv (societe,depot,codeclie,nomcli,datefact,typefact,refeart,libeart,fournis,nomfour,famille,libefam,quantite,remise,montremise,prixun,prixtar,montht,prixachat,magasinier) as select x1.csoc_hlafac ,x1.depo_hlafac ,x1.ccli_hlafac ,x0.rais_cli ,x1.dfac_hlafac ,x1.tfac_hlafac ,x1.refe_hlafac ,x1.libe_hlafac ,x1.four_hlafac ,x3.rais_four ,x1.cfam_hlafac ,x4.libe_fam ,x1.qtte_hlafac ,x1.remi_hlafac ,x2.mrem_hlfac ,x2.ptar_hlfac ,(x2.ptar_hlfac * x1.qtte_hlafac ) ,x2.pxht_hlfac ,(x2.pach_hlfac * x1.qtte_hlafac ) ,x1.maga_hlafac from credel.fclient x0 ,credel.fhislfac x1 ,credel.pxhlfac x2 ,credel.ffournis x3 ,credel.ffamil x4 where ((((((((((((x1.csoc_hlafac = x2.csoc_hlfac ) AND (x1.depo_hlafac = x2.depo_hlfac ) ) AND (x1.nfac_hlafac = x2.nfac_hlfac ) ) AND (x1.dfac_hlafac = x2.dfac_hlfac ) ) AND (x1.ccli_hlafac = x2.ccli_hlfac ) ) AND (x1.nbon_hlafac = x2.nbon_hlfac ) ) AND (x1.nlig_hlafac = x2.nlig_hlfac ) ) AND (x1.natl_hlafac MATCHES '[DMFKP]' ) ) AND (x0.code_cli = x1.ccli_hlafac ) ) AND (x3.code_four = x1.four_hlafac ) ) AND (x4.four_fam = x1.four_hlafac ) ) AND (x4.code_fam = x1.cfam_hlafac ) ) #
Credel;vcc_irisar;1;create view credel.vcc_irisar (anneemois,reference,libelle,stock,depanage,commande,consos) as select x2.yrmo_consom ,x1.refe_art ,x1.libe_art ,x0.qtite_stk ,x3.qcde_depan ,x0.qtcde_stk ,sum(x2.qtte_consom ) from credel.fstock x0 ,credel.farticle x1 ,outer(credel.fconso x2 ) ,outer(credel.fdepana x3 ) where (((((((((((((x0.csoci_stk = 'ESC' ) AND (x0.depot_stk = 'MEL' ) ) AND (x0.refer_stk = x1.refe_art ) ) AND (x0.fourn_stk = x1.four_art ) ) AND (x1.four_art = 9485 ) ) AND (x2.csoc_consom = x0.csoci_stk ) ) AND (x2.depo_consom = x0.depot_stk ) ) AND (x2.refe_consom = x0.refer_stk ) ) AND (x2.four_consom = x0.fourn_stk ) ) AND (x3.csoc_depan = x0.csoci_stk ) ) AND (x3.depo_depan = x0.depot_stk ) ) AND (x3.refe_depan = x0.refer_stk ) ) AND (x3.four_depan = x0.fourn_stk ) ) group by x2.yrmo_consom ,x1.refe_art ,x1.libe_art ,x0.qtite_stk ,x3.qcde_depan ,x0.qtcde_stk #
Credel;vcc_jrnalcpt;1;create view credel.vcc_jrnalcpt (societe,depot,date,journal,service,simulat,prefix,compte,intitule,piece,libelle,prefcppa,contrepart,moderegl,echeance,debit,credit,lettrage,datelettre,pointage,datepoint,datecreat,adruser) as select x0.csoc_mvcpt ,x0.depo_mvcpt ,x0.dpie_mvcpt ,x0.jrnl_mvcpt ,x0.serv_mvcpt ,x0.simu_mvcpt ,x0.pref_mvcpt ,x0.ncpt_mvcpt ,x0.inti_mvcpt ,x0.npie_mvcpt ,x0.libe_mvcpt ,x0.prep_mvcpt ,x0.cppa_mvcpt ,x0.mreg_mvcpt ,x0.dech_mvcpt ,x0.debi_mvcpt ,x0.cred_mvcpt ,x0.lett_mvcpt ,x0.dlet_mvcpt ,x0.poin_mvcpt ,x0.dpoi_mvcpt ,x0.dcre_mvcpt ,x0.zal1_mvcpt from credel.fmouvcpt x0 where (x0.cmvj_mvcpt IN (0 ,5 )) #
Credel;vhfac;1;create view credel.vhfac (societe,depot,numor,numfact,datefact,client,nomcli,typecli,typefact,accident,tempsfact) as select distinct x0.csoc_hefac ,x0.depo_hefac ,x0.nuor_hefac ,x0.nfac_hefac ,x0.dfac_hefac ,x0.ccli_hefac ,x0.nomc_hefac ,x0.tcli_hefac ,x0.tfac_hefac ,x0.acci_hefac ,x0.hfac_hefac from credel.fhisefac x0 #
Credel;vcli;1;create view credel.vcli (code_cli,rais_cli,litg_cli,adr1_cli,adr2_cli,adr3_cli,codp_cli,vill_cli,pays_cli,tele_cli,faxe_cli,mrem_scli,arem_scli) as select distinct x0.code_cli ,x0.rais_cli ,x0.litg_cli ,x0.adr1_cli ,x0.adr2_cli ,x0.adr3_cli ,x0.codp_cli ,x0.vill_cli ,x0.pays_cli ,x0.tele_cli ,x0.faxe_cli ,x1.mrem_scli ,x1.arem_scli from credel.fclient x0 ,credel.fmagatl x1 where (x0.code_cli = x1.ccli_scli ) #
Credel;v_cli;1;create view credel.v_cli (code_cli,rais_cli,adr1_cli,adr2_cli,adr3_cli,codp_cli,vill_cli,pays_cli,mrem_scli,arem_scli,mreg_scli,depo_scli,ncpt_scli,litg_cli,type_cli) as select x0.code_cli ,x0.rais_cli ,x0.adr1_cli ,x0.adr2_cli ,x0.adr3_cli ,x0.codp_cli ,x0.vill_cli ,x0.pays_cli ,x1.mrem_scli ,x1.arem_scli ,x1.mreg_scli ,x1.depo_scli ,x1.ncpt_scli ,x0.litg_cli ,x0.type_cli from credel.fclient x0 ,credel.fmagatl x1 where (x0.code_cli = x1.ccli_scli ) #
Credel;vcc_mvanacpt;1;create view credel.vcc_mvanacpt (societe,datemvt,piece,compte,libelle,etablissement,service,activite,nature,mdebit,credit) as select x0.csoc_mvana ,x0.dpie_mvana ,x0.npie_mvana ,x0.ncpt_mvana ,x1.nintcg_planc ,x0.depa_mvana ,x0.sera_mvana ,x0.acta_mvana ,x0.cess_mvana ,x0.debi_mvana ,x0.cred_mvana from credel.fmvanacpt x0 ,credel.fcompcpt x1 where (((x1.csocie_planc = x0.csoc_mvana ) AND (x1.nclecg_planc = x0.ncpt_mvana ) ) AND (x0.cmvc_mvana = 0 ) ) #
Credel;vclient;1;create view credel.vclient (societe,depot,codeclient,raisoncli,adr1_cli,adr2_cli,adr3_cli,codp_cli,vill_cli,pays_cli,type_cli,mreg_cli,litg_cli,mrem_scli,arem_scli,ncpt_scli,tele_cli,faxe_cli,rtva_scli) as select x1.csoc_scli ,x1.depo_scli ,x0.code_cli ,TRIM ( BOTH ' ' FROM x0.rais_cli ) ,x0.adr1_cli ,x0.adr2_cli ,x0.adr3_cli ,x0.codp_cli ,x0.vill_cli ,x0.pays_cli ,x0.type_cli ,x0.mreg_cli ,x0.litg_cli ,x1.mrem_scli ,x1.arem_scli ,x1.ncpt_scli ,x0.tele_cli ,x0.faxe_cli ,x1.rtva_scli from credel.fclient x0 ,credel.fmagatl x1 where (x0.code_cli = x1.ccli_scli ) #
Credel;vclicrm;1;create view credel.vclicrm (codeclient,nonclient,rue1,rue2,rue3,codepostal,ville,pays,telephone,fax,siret,email,codeape,typeclient,motcle,litige,civilite,responsable,secteur,canton,idtva,prospect,regroupe,categorie,stat,codehrs,ventilhrs,libetypc,liblitige,bloquant) as select x0.code_cli ,x0.rais_cli ,x0.adr1_cli ,x0.adr2_cli ,x0.adr3_cli ,x0.codp_cli ,x0.vill_cli ,x0.pays_cli ,x0.tele_cli ,x0.faxe_cli ,x0.sire_cli ,x0.emai_cli ,x0.niso_cli ,x0.type_cli ,x0.mcle_cli ,x0.litg_cli ,x0.init_cli ,x0.resp_cli ,x0.sect_cli ,x0.cant_cli ,x0.tvac_cli ,x0.pros_cli ,x0.regr_cli ,x0.catg_cli ,x0.stat_cli ,x0.chrs_cli ,x0.vhrs_cli ,x1.libe_typc ,x2.libe_ltg ,x2.type_ltg from credel.fclient x0 ,credel.ftypecli x1 ,credel.flitige x2 where ((x1.code_typc = x0.type_cli ) AND (x2.code_ltg = x0.litg_cli ) ) #
Credel;vcerecdep;1;create view credel.vcerecdep (societe,depot,codeclient,nomclient,immat,numcontrat,navenant,libeaven,anne,mois,recette,depense) as select x0.csoc_hcen ,x0.depo_hcen ,x0.ccli_hcen ,x1.lcli_cen ,x1.imma_cen ,x0.ncon_hcen ,x0.nave_hcen ,x1.lave_cen ,YEAR (x0.date_hcen ) ,MONTH (x0.date_hcen ) ,sum(x0.mtfa_hcen ) ,sum(x0.mtde_hcen ) from credel.fhiscen x0 ,credel.fconcen x1 where (((((x1.csoc_cen = x0.csoc_hcen ) AND (x1.depo_cen = x0.depo_hcen ) ) AND (x1.ncon_cen = x0.ncon_hcen ) ) AND (x1.nave_cen = x0.nave_hcen ) ) AND (x0.cdev_hcen = 1 ) ) group by x0.csoc_hcen ,x0.depo_hcen ,x0.ccli_hcen ,x1.lcli_cen ,x1.imma_cen ,x0.ncon_hcen ,x0.nave_hcen ,x1.lave_cen ,x0.nfac_hcen ,x0.date_hcen #
